_id,brand,website_id,price_offer_price,price_regular_price,price_basket_price,5da94f4e6d97010001f81d72,5da94f270ffeca000172b12e,5d0cc7b68a66a100014acdb0,5da94ef80ffeca000172b12c,5da94e940ffeca000172b12a
5da821546504fb65da004bc5,saint laurent,5da6d40110309200045874e6,864.0,2160.0,864.0,,,1650.0,,
5da821f4b25b035d1d17bdbb,saint laurent,5da6d40110309200045874e6,3890.0,3890.0,3890.0,,,3960.0,3895.0,3890.0
5da81a506504fb65c4de3ce4,saint laurent,5da6d40110309200045874e6,864.0,2160.0,864.0,,,2200.0,,
5db8121fd5424ee1f33534f8,simone rocha,5da6d40110309200045874e6,147.5,295.0,152.5,,,300.0,,
5da81ad87d3a9baa211f802b,simone rocha,5da6d40110309200045874e6,247.5,495.0,247.5,,,500.0,252.0,
5da81a06b25b035d1d17a495,simone rocha,5da6d40110309200045874e6,75.0,75.0,80.0,80.0,,85.0,,
5da82183b25b035d1d17b75a,golden goose,5da6d40110309200045874e6,201.0,335.0,201.0,,,340.0,,
5da81d36b25b035d1d17abf6,golden goose,5da6d40110309200045874e6,360.0,360.0,360.0,,,365.0,,
5da8185b6504fb65c4de3be8,saint laurent,5da6d40110309200045874e6,212.5,425.0,212.5,,,445.0,430.0,
5dcc1dab4c033d4acec10234,valentino,5da6d40110309200045874e6,480.0,480.0,480.0,485.0,,485.0,,
5da81aea7d3a9baa211f81c7,rokh,5da6d40110309200045874e6,360.5,515.0,360.5,,,,,397.0
5da8215c6504fb65da004c1a,saint laurent,5da6d40110309200045874e6,414.0,690.0,414.0,,498.0,705.0,,
5da8215fb25b035d1d17b504,rokh,5da6d40110309200045874e6,154.0,385.0,159.0,,,,,299.0
5da82183b25b035d1d17b766,rokh,5da6d40110309200045874e6,262.0,655.0,262.0,,,,,431.0
5da81f776504fb65cb261915,chloé,5da6d40110309200045874e6,560.0,1120.0,560.0,,,912.0,,784.0
5da81a547f3e301b4504b38d,fendi,5da6d40110309200045874e6,142.5,142.5,147.5,,,273.0,,187.0
5da821ad6504fb65da0052f2,fendi,5da6d40110309200045874e6,210.0,210.0,210.0,,,358.0,,
5db80fbcd5424ee1f3352319,khaite,5da6d40110309200045874e6,1295.0,1295.0,1295.0,,,2259.0,,
5da81cc57861c2af6a5a8802,khaite,5da6d40110309200045874e6,865.0,865.0,865.0,,,1529.0,,
5da821cdb25b035d1d17bb55,see by chloé,5da6d40110309200045874e6,375.0,750.0,375.0,,,406.0,755.0,
5da820db6504fb65da004277,see by chloé,5da6d40110309200045874e6,222.0,222.0,222.0,,,628.0,560.0,
5da81d5b7861c2af6a5a8f03,see by chloé,5da6d40110309200045874e6,157.5,315.0,162.5,,,256.0,320.0,
5da820ff6504fb65da004586,see by chloé,5da6d40110309200045874e6,231.0,385.0,231.0,,,233.0,236.0,
5da821966504fb65da00507d,gucci,5da6d40110309200045874e6,980.0,980.0,980.0,,995.0,985.0,,
5da81b7ab25b035d1d17a7d0,the row,5da6d40110309200045874e6,1100.0,1100.0,1100.0,,,,930.0,
5da81cc57861c2af6a5a882c,magda butrym,5da6d40110309200045874e6,460.0,1150.0,460.0,,,620.0,,696.0
5da821ce6504fb65da0055c1,hunza g,5da6d40110309200045874e6,140.0,140.0,145.0,135.0,,,,
5da81c8d6504fb65d41c56bb,hunza g,5da6d40110309200045874e6,135.0,135.0,140.0,140.0,,,,
5da821d9b25b035d1d17bc51,attico,5da6d40110309200045874e6,249.0,415.0,249.0,,,377.0,254.0,
5da821646504fb65da004cc5,attico,5da6d40110309200045874e6,336.0,840.0,336.0,850.0,,662.0,,
5da82235b25b035d1d17c0d6,attico,5da6d40110309200045874e6,647.5,925.0,647.5,935.0,,728.0,,
5db81045d5424ee1f33527bb,paco rabanne,5da6d40110309200045874e6,247.5,247.5,247.5,,,,500.0,
5da81a317d3a9baa211f7e4b,paco rabanne,5da6d40110309200045874e6,472.5,675.0,472.5,,,,680.0,
5da8223b6504fb65cea7040f,raquel diniz,5da6d40110309200045874e6,594.0,990.0,594.0,,,,581.0,
5da81a2d7d3a9baa211f7dce,chloé,5da6d40110309200045874e6,5215.0,5215.0,5215.0,,,5251.0,,3650.0
5db81002d5424ee1f33525a2,chloé,5da6d40110309200045874e6,2365.0,2365.0,2365.0,,,1815.0,,
5da82189b25b035d1d17b773,chloé,5da6d40110309200045874e6,966.0,966.0,966.0,,,1391.0,,
5da81ebe6504fb65da003778,chloé,5da6d40110309200045874e6,4550.0,4550.0,4550.0,,,,1825.0,
5da8221d6504fb65da005ae3,chloé,5da6d40110309200045874e6,1362.0,2270.0,1362.0,,,,,1589.0
5da81d347861c2af6a5a8ca3,chloé,5da6d40110309200045874e6,564.0,940.0,564.0,,,,,658.0
